country,code.3,code.2,type,capital,founding.date,capital.lat,capital.long,telephone.lines,telephone.mobile,internet.users,broadband.subscriptions,gdp.ppp,gdp.growth.rate,gdp.per.capita,gross.national.savings,industrial.production.growth.rate,labor.force.size,unemployment.rate,gini.index,tax.revenue,budget.surplus,debt,inflation.rate,central.bank.discount.rate,bank.lending.rate,current.account.balance,exports,imports,foreign.exchange,debt.external,electricity.production,electricity.consumption,electricity.exports,electricity.imports,electricity.capaicty,electricity.fossil.fuels,electricity.nuclear,electricity.hydroelectric,electricity.renewable,oil.production,oil.exports,oil.imports,oil.reserves,petroleum.production,natural.gas.production,natural.gas.consumption,natural.gas.export,natural.gas.import,natural.gas.reserves,co2.emissions,area,military.expenditures,population,age.median,population.growth.rate,birth.rate,death.rate,migration.net.rate,mortality.maternal.rate,mortality.infant.rate,life.expectany,fertility.rate,obesity.rate,underweight.children.under.5.rate,education.expenditures,unemployment.rate.youth,airports,railways,roadways,education.per.gdp,ag.area.per.total,ag.sq.km,arable.land.per.total,arable.land.hect.per.capita,birth.rate.per.1000,fish.production.1000.tons,co2.emissions.total,co2.emissions.per.capita,co2.emissions.from.gas.fuels,co2.emissions.from.liquid.fuels,death.rate.per.1000,fertility.rate.per.woman,fdi,forest.area.percent,gdp.constant,gdp.current,internet.access.percentage,inflation.rate,land.area.sq.km,life.expectancy.female,life.expectancy.male,life.expectancy.all,exports,imports,mobile.subscriptions.per.100,open.defecation.percentage,drinking.water.percentage,sanitation.percentage,population.density,populatiion.growth.rate,population.total,preeducation.years.avg,primary.education.avg,population.rural,population.rural.percentage,population.rural.growth.rate,science.articles,secondary.education.avg,internet.servers.per.million,area.sq.km,fish.production.tons,urban.populaiton,urban.population.percentage,urban.population.growth.rate,protected.areas.percentage,terrestrial.protected.areas.percentage
Dominica,DMA,DM,parliamentary democracy,Roseau,11/3/78,15 18 N,61 24 W,"13,328","78,444","49,439","15,487","$783,000,000 ",-4.7,"$11,000 ",10.8,-13,"25,000",23,NA,40.9,-5.9,82.7,0.6,6.5,8.08,-70000000.00,"$28,000,000 ","$206,600,000 ","$212,300,000 ","$280,400,000 ","111,400,000","103,600,000",0,0,"27,800.00",72,0,25,3,0,0,0,0,0,0,0,0,0,0,"199,600.00",751,NA,"74,027",34,0.17,15,7.9,-5.4,NA,10.3,77.4,2.03,27.9,NA,3.4,NA,2,NA,"1,512",5,33.33333333,250,8,0.084143212,NA,770,179.683,2.519850786,0,100,NA,NA,41156158.64,57.41333516,503071000.9,576229629.6,67.03,3.907357284,750,NA,NA,NA,1.80E+07,2.14E+08,110.008835,NA,NA,NA,95.076,0.174047346,71307,5,7,21478,30.12,-0.820721923,11.8,5,5357.117815,750,776,49829,69.88,0.605897764,0.586134696,22.06
Denmark,DNK,DK,constitutional monarchy,Copenhagen,965,55 40 N,12 35 E,"1,439,695","6,978,348","5,424,169","2,475,382","$287,800,000,000 ",2.3,"$50,100 ",28.8,2.5,"2,998,000",5.7,29,53,1.1,35.3,1.1,0,2.84,24820000000.00,"$113,600,000,000 ","$94,930,000,000 ","$75,250,000,000 ","$484,800,000,000 ","29,840,000,000","33,020,000,000","9,919,000,000","14,980,000,000","14,340,000.00",46,0,0,54,"115,000","82,980","98,240","439,000,000","183,900","4,842,000,000","3,115,000,000","2,237,000,000","509,700,000","12,860,000,000","37,450,000.00","43,094.00",1.32,"5,809,502",41.9,0.59,10.9,9.3,4.3,4,3.2,81,1.78,19.7,NA,7.6,11,80,"3,476","74,558",6.89804486,62.01476542,26040,56.56108597,0.414629164,10.8,670344,31785.556,5.549144642,20.74296262,52.99953853,9.2,1.79,7804020827,14.6992134,3.54438E+11,3.13116E+11,96.96778525,0.254595195,41990,82.8,79,80.85365854,9.53E+10,8.55E+10,122.300966,0,99.99999893,99.59722928,136.4136699,0.780392644,5728010,6,7,707867,12.358,-0.154006347,14160.25,6,24041.33373,42920,706681,5020143,87.642,0.912853069,17.75706832,17.56
Dominican Republic,DOM,DO,democratic republic,Santo Domingo,2/27/1844,18 28 N,69 54 W,"1,329,852","8,769,127","6,504,998",NA,"$173,000,000,000 ",4.6,"$17,000 ",21.6,3.1,"4,732,000",5.1,47.1,14.9,-3,37.2,3.3,NA,13.91,-165000000.00,"$10,120,000,000 ","$17,700,000,000 ","$6,873,000,000 ","$29,160,000,000 ","18,030,000,000","15,640,000,000",0,0,"3,839,000.00",77,0,16,7,0,0,"16,980",0,"16,060",0,"1,161,000,000",0,"1,161,000,000",0,"23,790,000.00","48,670.00",0.74,"10,298,756",27.3,0.99,18.9,6.4,-2.6,95,22.7,71.3,2.28,27.6,4,NA,13.5,36,496,"19,705",2.519252247,48.68557235,23520,16.55971848,0.076939774,20.07,14640,25258.296,2.429209493,7.578397213,70.83333333,6.097,2.387,2516100000,41.7346295,73056394747,75704720190,63.87086474,1.993678465,48310,76.765,70.403,73.471,9.84E+09,1.74E+10,83.75022036,2.974762429,96.5763681,83.53956123,215.2296212,1.122509257,10397743,3,6,2138192,20.564,-3.021118684,34.55,6,93.28947638,48670,16925,8259551,79.436,2.223767097,11.20193934,23.02
Algeria,DZA,DZ,republic,Algiers,7/5/62,36 45 N,3 03 E,"3,130,090","49,873,389","17,291,463","3,166,907","$630,000,000,000 ",1.4,"$15,200 ",37.8,0.6,"11,820,000",11.7,35.3,32.3,-9.6,27.5,5.6,4,8,-22100000000.00,"$34,370,000,000 ","$48,540,000,000 ","$97,890,000,000 ","$6,260,000,000 ","66,890,000,000","55,960,000,000","641,000,000","257,000,000","19,270,000.00",96,0,1,2,"1,259,000","756,400","5,340","12,200,000,000","627,900","93,500,000,000","41,280,000,000","53,880,000,000",0,"4,504,000,000,000","135,900,000.00","2,381,740.00",5.27,"41,657,488",28.3,1.63,21.5,4.3,-0.9,112,18.9,77.2,2.66,27.4,3,NA,25.7,157,"3,973","104,000",4.4671956,17.36553915,413601.9922,3.108735712,0.182588011,25.25,95000,150005.969,3.69915599,52.49223849,35.67849023,4.717,3.052,1638263954,0.824439265,1.95871E+11,1.60034E+11,42.94552688,1.548592555,2381740,77.524,75.115,76.298,3.00E+10,4.71E+10,116.0042077,0.785368473,93.51585098,87.54231646,17.02595749,2.051354584,40551404,1,5,11573776,28.541,-0.066835702,4527.57,7,7.619958115,2381740,96361,28977628,71.459,2.910068025,7.10549986,7.5
Ecuador,ECU,EC,republic,Quito,5/24/1822,0 13 S,78 30 W,"2,415,204","13,881,562","8,693,739","1,683,783","$193,000,000,000 ",2.4,"$11,500 ",25.9,-0.6,"8,086,000",4.6,45.9,32,-4.5,45.4,0.4,8.17,7.92,-349000000.00,"$19,620,000,000 ","$19,310,000,000 ","$2,395,000,000 ","$39,290,000,000 ","26,500,000,000","22,680,000,000","211,000,000","82,000,000","8,192,000.00",43,0,54,2,"517,000","383,500",0,"8,273,000,000","137,400","477,800,000","453,100,000",0,0,"10,900,000,000","37,540,000.00","283,561.00",2.38,"16,498,502",28.1,1.25,17.6,5.1,0,59,15.9,77.1,2.15,19.9,5.1,5,7.9,432,965,"43,216",3.93,22.2096956,55160,3.929779353,0.059183385,20.205,715495,41154.741,2.495570554,7.28860376,83.23977546,5.098,2.475,754610868.1,50.20595261,85358980970,99937696000,54.06292473,1.901646775,248360,79.233,73.606,76.365,1.68E+10,1.63E+10,84.18035505,2.600185389,93.68204774,87.17655336,66.40004429,1.70688086,16491115,3,6,6013650,36.466,1.33461711,1162.24,6,120.5497627,256370,1166585,10477465,63.534,1.921173145,14.39643275,20.03
Egypt,EGY,EG,republic,Cairo,2/28/22,30 03 N,31 15 E,"6,604,849","102,958,194","39,097,468","5,223,311","$1,204,000,000,000 ",4.2,"$12,700 ",9,3.5,"29,950,000",12.2,31.8,17.9,-8.6,103,23.5,19.25,18.18,-14920000000.00,"$23,300,000,000 ","$59,780,000,000 ","$35,890,000,000 ","$77,470,000,000 ","183,500,000,000","159,700,000,000","1,158,000,000","54,000,000","45,120,000.00",91,0,6,2,"639,000","246,500","64,760","4,400,000,000","547,500","50,860,000,000","57,710,000,000","212,400,000","7,079,000,000","2,186,000,000,000","232,700,000.00","1,001,450.00",1.25,"99,413,317",23.9,2.38,28.8,4.5,-0.4,37,18.3,73.2,3.41,32,7,NA,29.6,83,"5,085","65,050",4.4111256,3.750836325,37337.7002,2.79950778,0.029506156,27.677,335614,238560.352,2.525862866,39.78111166,48.15389818,5.915,3.41,8106800000,0.073936409,2.60805E+11,3.32928E+11,41.24806709,6.245663136,995450,73.766,69.302,71.482,2.55E+10,5.58E+10,103.540997,0,99.03285678,94.07834373,94.87877041,2.14522549,94447072,2,6,54087949,57.268,2.237815809,11109.22,6,14.69606173,1001450,1706274,40359123,42.732,2.021273317,11.55115349,13.14
Eritrea,ERI,ER,transitional government ,Asmara,5/24/93,15 20 N,38 56 E,"66,086","506,000","69,095",600,"$9,402,000,000 ",5,"$1,600 ",5.5,5.4,"2,710,000",5.8,NA,34.9,-9.8,131.2,9,NA,NA,-137000000.00,"$624,300,000 ","$1,127,000,000 ","$236,700,000 ","$792,700,000 ","415,900,000","353,900,000",0,0,"160,700.00",99,0,0,1,0,0,0,0,0,0,0,0,0,0,"597,100.00","117,600.00",NA,"5,970,646",19.9,0.89,29.1,7.1,-13.1,480,44.4,65.6,3.9,5,39.4,NA,NA,13,306,"16,000",1.72,75.16831683,75920,6.831683168,NA,31.521,4300,711.398,NA,0,86.08247423,7.5,4.164,52305000,14.90693045,NA,NA,1.17711872,NA,101000,67.303,62.994,65.111,4.36E+08,9.57E+08,14.9856792,67.00394785,51.84971842,11.93996619,NA,NA,NA,2,5,NA,NA,NA,8.7,7,NA,117600,4300,NA,NA,NA,4.872187166,4.87
Spain,ESP,ES,parliamentary monarchy,Madrid,1492,40 24 N,3 41 W,"19,680,973","52,484,655","39,123,384","14,473,888","$1,778,000,000,000 ",3,"$38,400 ",23,4,"22,750,000",17.2,35.9,37.9,-3.1,98.4,2,0.05,2.03,24740000000.00,"$313,700,000,000 ","$338,600,000,000 ","$69,410,000,000 ","$2,094,000,000,000 ","258,600,000,000","239,500,000,000","14,180,000,000","21,850,000,000","105,900,000.00",47,7,14,32,"1,700",0,"1,325,000","150,000,000","1,361,000","36,810,000","31,270,000,000","2,888,000,000","34,630,000,000","2,548,000,000","286,700,000.00","505,370.00",0.92,"49,331,076",43.1,0.73,9,9.2,7.5,4,3.3,81.8,1.5,23.8,NA,4.2,38.6,150,"15,333","683,175",4.007472285,52.57724744,262656.9922,24.69589497,0.265406661,8.8,915137.3,244002.18,5.249157873,23.503156,57.47670574,8.8,1.34,44253339408,36.93620953,1.46189E+12,1.23208E+12,80.56133294,0.322898794,499563.9844,86.3,80.5,83.32926829,2.90E+11,3.11E+11,110.480234,0,99.92650556,99.90428643,93.04926587,0.08443015,46484062,6,6,9371187,20.16,-1.089211917,55514.33,6,2762.559778,505935,1198968,37112875,79.84,0.382971719,15.19563264,28.02
Estonia,EST,EE,parliamentary republic,Tallinn,8/20/91,59 26 N,24 43 E,"362,117","1,904,425","1,097,921","404,682","$41,650,000,000 ",4.9,"$31,700 ",27,9.5,"670,200",5.8,34.8,39.9,-0.3,9,3.7,0,4.2,809000000.00,"$13,440,000,000 ","$14,420,000,000 ","$345,000,000 ","$19,050,000,000 ","11,550,000,000","8,795,000,000","5,613,000,000","3,577,000,000","2,578,000.00",72,0,0,28,0,0,0,0,0,0,"481,400,000",0,"481,400,000",0,"5,306,000.00","45,228.00",2.14,"1,244,288",43,-0.6,9.9,12.7,-3.1,9,3.8,77,1.6,21.2,NA,5.2,12.1,18,"2,146","58,412",4.918456686,23.07338394,10030,16.0110421,0.528959788,10.7,75931,16589.508,12.60802104,5.901856764,6.056587091,11.7,1.6,925591829.5,51.33655619,23805751474,23996451498,87.24023275,1.709034962,43470,82.2,73.3,77.64146341,1.32E+10,1.50E+10,144.1630523,0,99.71165403,99.13973696,30.2689211,0.029112226,1315790,7,6,413645,31.437,-0.43734081,1555.17,6,10786.67569,45340,76798.73,902145,68.563,0.243716597,19.48683327,20.18
Ethiopia,ETH,ET,federal republic,Addis Ababa,NA,9 02 N,38 42 E,"1,181,000","62,617,000","15,731,741","580,120","$200,600,000,000 ",10.9,"$2,200 ",32.1,10.5,"52,820,000",17.5,33,13.9,-3.2,54.2,9.9,NA,13.5,-6551000000.00,"$3,230,000,000 ","$15,590,000,000 ","$3,013,000,000 ","$26,050,000,000 ","11,150,000,000","9,062,000,000","166,000,000",0,"2,784,000.00",3,0,86,11,0,0,0,"428,000",0,0,0,0,0,"24,920,000,000","12,180,000.00","1,104,300.00",0.64,"108,386,391",18,2.83,36,7.5,-0.2,401,48.3,63,4.91,4.5,23.6,4.7,25.2,57,659,"120,171",3.074455421,36.259,362590,15.119,0.145931362,33.207,45500,14869.685,0.143524928,0,64.26633785,6.844,4.456,4142937496,12.53959961,53258136694,74296618481,15.36692386,10.39792554,1.00E+06,67.378,63.622,65.482,2.79E+09,1.64E+10,49.44236323,25.57742348,40.04142321,7.090740001,103.603501,2.708106304,103603501,3,6,83021629,80.134,2.163009863,1172.08,6,0.405391706,1104300,45595,20581872,19.866,4.9375479,18.47495203,18.47
Finland,FIN,FI,republic,Helsinki,12/6/17,60 10 N,24 56 E,"378,200","7,307,800","4,822,132","1,709,400","$244,900,000,000 ",2.8,"$44,500 ",23.3,6.2,"2,473,000",8.5,27.2,53.1,-0.6,61.3,0.8,1.25,1.61,1806000000.00,"$67,730,000,000 ","$65,260,000,000 ","$10,510,000,000 ","$150,600,000,000 ","66,540,000,000","82,790,000,000","3,159,000,000","22,110,000,000","16,270,000.00",41,17,20,23,0,0,"236,700",0,"310,600",0,"2,350,000,000","4,000,000","2,322,000,000",NA,"46,010,000.00","338,145.00",1.29,"5,537,364",42.6,0.33,10.7,10.1,2.8,3,2.5,81.1,1.75,22.2,NA,6.9,20.1,148,"5,926","454,000",6.258389916,7.485768813,22750,7.390345826,0.408712677,9.6,192065,45870.503,8.34721998,10.28059797,49.82812375,9.8,1.57,4877520442,73.10716989,2.56907E+11,2.40608E+11,87.70364996,0.185788912,303910,84.4,78.6,81.42926829,5.79E+10,6.08E+10,131.3291545,0,100.0000022,99.44785618,18.08200783,0.287421402,5495303,6,6,809183,14.725,-0.051643704,11106.38,6,7131.362911,338450,206477.2,4686120,85.275,0.346086568,14.21091854,14.94
Fiji,FJI,FJ,republic,Suva,10/10/70,18 08 S,178 25 E,"75,952","1,033,915","425,680","12,135","$8,629,000,000 ",3,"$9,800 ",12.7,2.8,"353,100",4.5,NA,29.7,-4,48.9,3.4,1.75,5.74,-277000000.00,"$908,200,000 ","$1,911,000,000 ","$1,116,000,000 ","$1,022,000,000 ","914,000,000","850,000,000",0,0,"338,000.00",34,0,38,27,0,0,0,0,0,0,0,0,0,0,"2,369,000.00","18,274.00",0.92,"926,276",29.2,0.56,18.2,6.2,-6.4,34,9.3,73.2,2.37,30.2,NA,3.9,15.4,28,597,"3,440",3.955081813,23.26217843,4250,9.031198686,0.189133642,21.799,44663,2046.186,2.345470364,0,94.62365591,8.17,2.797,391619655.4,55.94198126,3881570259,4930204230,46.50697831,2.569115713,18270,68.925,65.555,67.175,9.26E+08,2.32E+09,119.7485325,0,93.7446242,95.06922889,47.75035577,0.433308394,872399,3,6,390529,44.765,-0.697382613,162.66,7,113.4801851,18270,45417,481870,55.235,1.359143813,0.989795911,5.4
France,FRA,FR,republic,Paris,NA,48 52 N,2 20 E,"38,687,000","69,017,000","57,226,585","28,429,000","$2,856,000,000,000 ",2.3,"$44,100 ",22.9,2,"30,680,000",9.4,29.3,53.8,-2.6,96.8,1.2,0,1.29,-14830000000.00,"$549,900,000,000 ","$601,700,000,000 ","$156,400,000,000 ","$5,360,000,000,000 ","529,100,000,000","450,800,000,000","61,410,000,000","19,900,000,000","130,800,000.00",17,50,15,19,"16,000",0,"1,147,000","65,970,000","1,311,000","16,990,000","41,880,000,000","6,031,000,000","48,590,000,000","8,410,000,000","341,200,000.00","643,801.00",1.84,"67,364,357",41.5,0.37,12.1,9.4,1.1,8,3.2,82,2.06,21.6,NA,5.4,22.3,464,"29,640","1,053,215",4.935406534,52.44754417,287180.1953,33.52330476,0.275101782,11.8,561173.2,NA,NA,NA,NA,8.9,1.92,32803666729,31.23327844,2.81176E+12,2.47129E+12,79.26981132,0.522559352,547556.9922,85.8,79.5,82.57317073,5.01E+11,5.68E+11,104.4897355,0,100.0000015,98.65080612,121.8578248,0.263868789,66724104,3,5,13400202,20.083,-1.032279761,71028.47,7,6688.017871,549086.9922,727813.2,53323902,79.917,0.592247249,26.08071835,26.03
"Micronesia, Federated States of",FSM,FM,constitutional government,Palikir,11/3/86,6 55 N,158 09 E,"6,947","23,114","33,000","3,776","$348,000,000 ",2,"$3,400 ",NA,NA,"37,920",16.2,61.1,65.2,6.6,24.5,0.5,NA,15.73,12000000.00,"$88,300,000 ","$167,800,000 ","$203,700,000 ","$93,600,000 ","192,000,000","178,600,000",0,0,"18,000.00",96,0,1,3,0,0,0,0,0,0,NA,NA,NA,0,105,702,NA,"103,643",25.5,-0.55,19.6,4.2,-20.9,88,19.1,73.4,2.37,45.8,NA,12.5,18.9,6,NA,NA,23.62883,31.42857143,220,2.857142857,0.01814635,23.069,88397,143.013,1.297581999,0,100,6.526,3.145,NA,91.85714722,298691646.6,332265200,33.35216255,4.0478378,700,69.158,65.842,67.471,4.90E+07,1.86E+08,21.24211768,NA,78.56647902,88.30933155,157.45,1.204888841,110215,3,6,85388,77.474,1.114066754,3.81,6,154.2439777,700,88397,24827,22.526,1.517886285,0.018720536,4.28
Gabon,GAB,GA,republic,Libreville,8/17/60,0 23 N,9 27 E,"21,235","2,663,243","835,408","14,967","$36,660,000,000 ",0.5,"$18,100 ",25.6,1.8,"557,800",28,42.2,17.6,-1.9,62.7,2.7,3,15,-725000000.00,"$5,564,000,000 ","$2,829,000,000 ","$981,600,000 ","$6,490,000,000 ","2,244,000,000","2,071,000,000",0,"344,000,000","671,000.00",51,0,49,0,"196,000","214,200",0,"2,000,000,000","16,580","401,000,000","401,000,000",0,0,"28,320,000,000","4,293,000.00","267,667.00",1.53,"2,119,036",20.5,2.73,26.5,6.2,7,252,32.9,68,3.52,15,6.4,2.7,35.7,44,649,"14,300",3.06,20.02561416,51600,1.261303217,0.161862827,32.604,31000,5320.817,2.649976866,19.22811854,46.24396968,7.201,4.039,1241129612,90.03764505,18932327518,14023890620,48.05227375,-4.26975398,257670,67.346,63.552,65.418,4.36E+09,2.64E+09,147.543495,2.969855799,85.62704687,47.36637167,7.792420538,3.043395155,2007873,3,5,229721,11.441,-0.738599678,60.97,7,22.41177604,267670,31045,1778152,88.559,3.542595269,12.0754505,20.14
United Kingdom,GBR,GB,constitutional monarchy,London,4/12/27,51 30 N,0 05 W,"33,140,662","79,173,658","61,064,454","26,015,818","$2,925,000,000,000 ",1.7,"$44,300 ",13.6,3.4,"33,500,000",4.4,32.4,39.1,-1.9,87.5,2.7,0.25,4.38,-99210000000.00,"$441,200,000,000 ","$615,900,000,000 ","$150,800,000,000 ","$8,126,000,000,000 ","318,200,000,000","309,200,000,000","2,153,000,000","19,700,000,000","97,060,000.00",50,9,2,39,"1,000,000","710,600","907,100","2,069,000,000","1,290,000","42,110,000,000","79,170,000,000","11,270,000,000","47,000,000,000","176,000,000,000","424,000,000.00","243,610.00",2.14,"65,105,246",40.5,0.51,12,9.4,2.5,7,4.2,80.9,1.88,27.8,NA,5.5,12.1,460,"16,837","394,428",5.492547015,71.71487814,173499.8047,24.90807161,0.091843674,11.8,702405,379024.787,5.776795985,41.93941622,44.27588742,9.1,1.79,3.24813E+11,13.06576282,2.78848E+12,2.69428E+12,94.77580063,2.140283041,241930,83,79.4,81.15609756,4.11E+11,6.37E+11,119.0555562,0,100,99.11142063,271.2007316,0.757874493,65611593,4,6,11228768,17.114,-0.749926104,99366.17,7,8696.420463,243610,896897.2,54382825,82.886,1.072051621,22.26206452,28.24
Georgia,GEO,GE,republic,Tbilisi,4/9/91,41 41 N,44 50 E,"713,826","5,730,625","2,464,107","770,113","$39,850,000,000 ",5,"$10,700 ",23,6.7,"1,998,000",11.8,40.1,28.7,-3.8,44.9,6,7,11.49,-1348000000.00,"$3,566,000,000 ","$7,415,000,000 ","$3,039,000,000 ","$16,990,000,000 ","13,240,000,000","12,370,000,000","560,000,000","1,329,000,000","4,641,000.00",35,0,65,0,400,"3,006","2,660","35,000,000",247,"7,363,000","2,294,000,000",0,"2,294,000,000","8,495,000,000","9,912,000.00","69,700.00",2.3,"4,003,000",38.3,0.01,12.1,10.9,-1.1,25,14.7,76.6,1.76,21.7,1.1,3.8,30.5,22,"1,363","20,295",1.76,34.45100014,23940,4.950352569,0.092286932,13.925,30078,10128.254,2.717167113,42.75887038,38.34178132,12.992,2.059,1656154174,40.61591455,16046522039,15141758567,58.45928961,2.619318296,69490,77.621,68.764,73.207,2.11E+09,7.29E+09,137.7647586,0,98.17054967,90.25437442,65.21405578,0.059816599,3727505,3,6,1571628,42.163,-0.858530992,620.93,6,406.7063626,69700,30748,2155877,57.837,0.734644622,6.441048205,8.33
Ghana,GHA,GH,constitutional democracy,Accra,3/6/57,5 33 N,0 13 W,"301,551","36,751,761","9,328,018","56,810","$134,000,000,000 ",8.4,"$4,700 ",9,16.7,"12,490,000",11.9,NA,20.3,-6,71.8,12.4,20,30.35,-2131000000.00,"$13,840,000,000 ","$12,650,000,000 ","$7,555,000,000 ","$22,140,000,000 ","12,520,000,000","9,363,000,000","187,000,000","511,000,000","3,801,000.00",58,0,42,1,"173,000","104,000","6,220","660,000,000","2,073","914,400,000","1,232,000,000",0,"317,400,000","22,650,000,000","13,670,000.00","238,533.00",0.41,"28,102,471",21.2,2.16,30.2,6.8,-1.7,308,34.1,67.4,3.96,10.9,11.2,3.6,15.2,10,947,"109,515",4.244262303,68.99885734,157000,20.65570889,0.165016815,30.28,327457,16670.182,0.585289432,8.512978443,79.52045755,7.533,3.984,3485333369,41.15935831,46841351688,55009730600,34.66600065,15.24938072,227540,64.13,62.13,63.124,1.11E+10,1.29E+10,134.4889824,18.27886794,80.43577313,17.80599013,125.1733585,2.246599268,28481946,5,6,12888365,45.251,0.792064947,1009.55,6,96.93860104,238540,379937,15593581,54.749,3.464974978,7.794238609,15.06
Guinea,GIN,GN,republic,Conakry,10/2/58,9 30 N,13 42 W,0,"10,800,000","1,185,148","1,100","$27,970,000,000 ",8.2,"$2,200 ",5.1,11,"5,558,000",2.7,39.4,16.6,-0.5,37.9,8.9,22.25,22.2,-705000000.00,"$3,514,000,000 ","$4,799,000,000 ","$331,800,000 ","$1,458,000,000 ","598,000,000","556,100,000",0,0,"550,000.00",33,0,67,0,0,0,0,0,0,0,0,0,0,0,"2,794,000.00","245,857.00",2.47,"11,855,411",19,2.75,36.4,8.9,0,576,55.3,62.1,4.98,7.7,18.3,2.2,1,16,"1,086","44,301",2.257746609,59.01025558,145000,12.61598567,0.264089584,37.171,128000,2995.939,0.255224608,0,91.67686659,9.013,4.854,1618447260,25.75288947,9507604080,8603884845,9.8,5.668710633,245720,60.585,59.546,60.17,2.41E+09,4.43E+09,94.64639604,15.09026743,62.10819007,21.88899337,47.77161403,2.644487343,11738441,5,6,7575990,64.54,2.151439474,38.44,7,0.937092072,245860,128250,4162451,35.46,3.548160219,21.36732601,30.68
"Gambia, The",GMB,GM,republic,Banjul,2/18/65,13 27 N,16 34 W,"37,969","2,838,127","371,785","3,750","$5,556,000,000 ",4.6,"$2,600 ",6.8,-0.8,"777,100",NA,50.2,20.3,-2.6,88,8,9,29,-194000000.00,"$72,900,000 ","$376,900,000 ","$170,000,000 ","$586,800,000 ","304,100,000","282,800,000",0,0,"117,000.00",97,0,0,3,0,0,0,0,0,0,0,0,0,0,"607,300.00","11,300.00",3,"2,092,731",21.3,1.99,28.6,6.9,-1.8,597,58.4,65.4,3.42,10.3,16.5,2.1,13.1,1,NA,"2,977",2.66,59.7826087,6050,43.47826087,0.204733151,39.363,58261,531.715,0.247408381,0.689655172,98.62068966,8.191,5.338,-1132320.07,48.37944724,1605412711,1470006034,18.5,7.820622749,10120,62.548,59.836,61.166,9.40E+07,3.84E+08,132.0589763,1.095468483,77.82723767,39.12299713,212.3655138,2.988605658,2149139,5,6,861418,40.082,1.281777501,48.02,6,8.840749714,11300,58296,1287721,59.918,4.146866218,1.367025436,4.11
Guinea-Bissau,GNB,GW,republic,Bissau,9/24/73,11 51 N,15 35 W,0,"1,434,822","66,169",629,"$3,171,000,000 ",5.9,"$1,900 ",8.6,2.5,"731,300",NA,NA,18.2,-1.3,53.9,1.1,4.25,5.5,-27000000.00,"$328,100,000 ","$283,500,000 ","$356,400,000 ","$1,095,000,000 ","39,000,000","36,270,000",0,0,"28,300.00",99,0,0,1,0,0,0,0,0,0,0,0,0,0,"397,900.00","36,125.00",1.64,"1,833,247",17.8,2.48,37.3,8.5,-4,667,54.8,61.4,4.81,9.5,17,2.1,NA,8,NA,"4,400",1.16,57.9658606,16300,10.6685633,0.168308894,36.265,6700,293.36,0.164583657,0,100,10.014,4.631,14221700,69.77240398,1060511441,1178204501,3.761413832,6.096399673,28120,59.329,55.198,57.328,2.77E+08,2.30E+08,72.13911508,16.97677601,66.508234,20.41955111,63.38680654,2.570575611,1782437,3,6,1024313,57.467,1.859688733,11.19,6,1.683088939,36130,6700,758124,42.533,3.539163617,11.62021971,16.66
Equatorial Guinea,GNQ,GQ,republic,Malabo,10/12/68,3 45 N,8 47 E,"10,989","575,650","180,597","3,382","$31,520,000,000 ",-3.2,"$37,400 ",6.1,-6.9,"195,200",8.6,NA,16.9,-3.3,37.4,0.7,8.5,15,-738000000.00,"$6,118,000,000 ","$2,577,000,000 ","$45,500,000 ","$1,211,000,000 ","500,000,000","465,000,000",0,0,"331,000.00",61,0,38,2,"172,000","308,700",0,"1,100,000,000",0,"6,069,000,000","1,189,000,000","4,878,000,000",0,"36,810,000,000","3,062,000.00","28,051.00",0.18,"797,457",19.9,2.41,31.7,7.6,0,301,63.3,65,4.29,8,5.6,NA,NA,7,NA,"2,880",1,10.12477718,2840,4.278074866,0.098750884,34.234,8000,5654.514,4.653235449,60.18158236,12.90531777,9.768,4.686,53962157.05,55.48663189,15017551540,11240809132,23.77999997,-6.285422111,28050,58.932,56.692,57.713,4.90E+09,2.32E+09,47.37158281,2.859591719,64.42551872,66.24854149,43.32188948,3.911232347,1215179,6,6,350725,28.862,2.118803303,4.99,6,5.760468211,28050,8015,864454,71.138,4.647715988,1.76532601,19.27
Greece,GRC,GR,parliamentary republic,Athens,1830,37 59 N,23 44 E,"5,176,475","12,937,106","7,443,016","3,778,263","$299,300,000,000 ",1.4,"$27,800 ",10.9,3.5,"4,769,000",21.5,36.7,48.8,0.8,181.8,1.1,0.05,5.25,-1596000000.00,"$31,540,000,000 ","$52,270,000,000 ","$7,807,000,000 ","$506,600,000,000 ","52,050,000,000","56,890,000,000","1,037,000,000","9,833,000,000","19,170,000.00",57,0,14,29,"4,100","3,229","484,300","10,000,000","655,400","8,000,000","4,927,000,000",0,"4,984,000,000","991,100,000","69,370,000.00","131,957.00",2.28,"10,761,523",44.9,-0.07,8.3,11.4,2.3,3,4.5,80.8,1.44,24.9,NA,NA,43.6,77,"2,548","117,000",3.1,47.60279286,61360,16.60201707,0.198589992,8.6,76362.3,62434.342,5.793848369,12.8039469,55.59144837,11,1.38,2698544612,31.68502677,2.44251E+11,1.95222E+11,69.08791547,-0.244138933,128900,84,78.9,81.38780488,2.82E+10,4.68E+10,118.122548,0,99.99999782,98.97959928,83.5994647,-0.415913028,10775971,6,6,2329011,21.613,-1.981347927,11156.77,6,1411.844928,131960,199772,8446960,78.387,0.020056563,8.563345285,34.96
